번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(백만원),액면가(원),통화구분,대표전화,주소,총카운트
362,232140,대신밸런스제2호스팩,116601,금융지원 서비스업,"10,620,000","1,062,000,000","100",원(KRW),02-769-2162,서울특별시 영등포구 국제금융로8길 16 &nbsp,2046
363,020180,대신정보통신,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","38,428,915","19,214,457,500","500",원(KRW),02  -2107-5009,"광주광역시 서구 상무중앙로 110(치평동, 우체국보험광주회관) ",2046
364,003540,대신증권,116601,금융지원 서비스업,"50,773,400","434,867,000,000","5,000",원(KRW),02-769-2000,서울특별시 영등포구  국제금융로8길 16 ,2046
365,045390,대아티아이,105802,소프트웨어 개발 및 공급업,"71,151,522","7,115,152,200","100",원(KRW),032-680-0800,경기도 부천시 오정구 수도로 139 ,2046
366,009190,대양금속,032401,1차 철강 제조업,"12,317,933","6,158,966,500","500",원(KRW),041-333-4675,충청남도 예산군  신암면 추사로 146-8 ,2046
367,108380,대양전기공업,033101,선박 및 보트 건조업,"9,567,333","4,783,666,500","500",원(KRW),051-200-5331,부산광역시 사하구 장평로 245 ,2046
368,006580,대양제지,031701,"펄프, 종이 및 판지 제조업","2,685,000","13,425,000,000","5,000",원(KRW),031-490-9302,경기도 안산시 단원구  신원로 50 ,2046
369,014160,대영포장,031702,"골판지, 종이 상자 및 종이 용기 제조업","103,421,361","51,710,680,500","500",원(KRW),031-490-9300,"경기도 안산시 단원구 산단로 265 (원시동, 대영포장(주))",2046
370,215480,대우SBI스팩1호,116601,금융지원 서비스업,"3,535,000","353,500,000","100",원(KRW),027683488,서울특별시 영등포구 국제금융로 56 대우증권빌딩 ,2046
371,047040,대우건설,064101,건물 건설업,"415,622,638","2,078,113,190,000","5,000",원(KRW),02-2288-3114,서울특별시 종로구 새문안로 75 (주)대우건설,2046
372,009320,대우부품,033003,자동차 부품 제조업,"43,200,298","21,600,149,000","500",원(KRW),063-530-8171,전라북도 정읍시  공단2길 3 ,2046
373,204440,대우스팩2호,116601,금융지원 서비스업,"5,750,000","575,000,000","100",원(KRW),02-768-3420,서울특별시 영등포구 국제금융로 56 대우증권빌딩 ,2046
374,215580,대우스팩3호,116601,금융지원 서비스업,"5,410,000","541,000,000","100",원(KRW),02-768-3488,서울특별시 영등포구  국제금융로 56 ,2046
375,042660,대우조선해양,033101,선박 및 보트 건조업,"273,415,368","1,372,076,840,000","5,000",원(KRW),02-2129-0114,서울특별시 중구  남대문로 125 (다동) 대우조선해양빌딩 ,2046
376,006800,대우증권,116601,금융지원 서비스업,"326,700,891","1,703,883,205,000","5,000",원(KRW),02-768-3355,서울특별시 영등포구  국제금융로 56 대우증권 빌딩,2046
377,003090,대웅,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","11,628,396","29,070,990,000","2,500",원(KRW),02-550-8800,경기 성남시 중원구 상대원동 223-23,2046
378,069620,대웅제약,032102,의약품 제조업,"11,586,575","28,966,437,500","2,500",원(KRW),02-550-8800,경기도 성남시 중원구  갈마치로 244 ,2046
379,000430,대원강업,033003,자동차 부품 제조업,"62,000,000","31,000,000,000","500",원(KRW),02-3455-7300,충청남도 천안시 서북구 성거읍 오목모전길 117-8 대원강업주식회사,2046
380,048910,대원미디어,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","12,047,713","6,053,856,500","500",원(KRW),02-6373-3000,서울특별시 용산구 한강대로15길 9-12 ,2046
381,005710,대원산업,033003,자동차 부품 제조업,"18,216,000","9,108,000,000","500",원(KRW),031 -495 -2301,경기도 안산시 단원구 원시로 179 ,2046
382,006340,대원전선,032803,절연선 및 케이블 제조업,"68,107,171","35,364,185,500","500",원(KRW),041-339-3400,충청남도 예산군  고덕면 호음덕령길 92 ,2046
383,003220,대원제약,032102,의약품 제조업,"17,681,504","8,840,752,000","500",원(KRW),02-498-9100-7,서울특별시 성동구 천호대로 386 대원제약,2046
384,024890,대원화성,032202,플라스틱제품 제조업,"41,249,152","20,624,576,000","500",원(KRW),031-372-3992,서울특별시 강남구 봉은사로 327 궁도빌딩 13층,2046
385,000300,대유신소재,033003,자동차 부품 제조업,"88,120,526","44,060,263,000","500",원(KRW),031-350-1500,광주광역시 서구  화운로230번길 28 ,2046
386,002880,대유에이텍,033003,자동차 부품 제조업,"91,447,161","45,723,580,500","500",원(KRW),062-940-8677,광주광역시 광산구  소촌로123번길 40-12 ,2046
387,120240,대정화금,032001,기초화학물질 제조업,"6,048,727","3,024,363,500","500",원(KRW),031-488-8822,"경기도 시흥시 서해안로 186 대정화금(주) 정돵동, 시화공단 1다 107",2046
388,003310,대주산업,031008,동물용 사료 및 조제식품 제조업,"35,392,350","18,696,175,000","500",원(KRW),02  -2201-8107,서울특별시 광진구 구의강변로 44 (구의동),2046
389,114920,대주이엔티,032401,1차 철강 제조업,"3,469,500","1,734,750,000","500",원(KRW),070-7015-1323,인천광역시 중구 신포로 4 (사동) 4층,2046
390,078600,대주전자재료,032602,전자부품 제조업,"9,481,285","4,740,642,500","500",원(KRW),(031)498-2901,경기 시흥시 정왕동 1236-10 ,2046
391,065690,대진디엠피,032201,고무제품 제조업,"12,565,800","6,282,900,000","500",원(KRW),02-3443-5360,충남 천안시 성거읍 천흥리316-4 ,2046
392,012800,대창,032402,1차 비철금속 제조업,"91,140,499","45,570,249,500","500",원(KRW),031-496-3000,경기도 시흥시 공단1대로 391 ,2046
393,015230,대창단조,033003,자동차 부품 제조업,"2,000,000","10,000,000,000","5,000",원(KRW),055-329-3911,경남 김해시 생림면 봉림리 1072-1,2046
394,096350,대창솔루션,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","11,200,000","5,600,000,000","500",원(KRW),051-264-0831,부산광역시 사하구  다산로 147 다대동,2046
395,140520,대창스틸,032401,1차 철강 제조업,"14,566,000","7,283,000,000","500",원(KRW),032-816-7700,인천광역시 남동구 아암대로 1213 &nbsp,2046
396,131220,대한과학,074605,기계장비 및 관련 물품 도매업,"7,156,281","3,578,140,500","500",원(KRW),033-737-7500,강원도 원주시  지정면 신평석화로 326 대한과학,2046
397,010170,대한광통신,032803,절연선 및 케이블 제조업,"46,962,073","23,481,036,500","500",원(KRW),031  -494 -1011,경기도 안산시 단원구 장자골로 49 ,2046
398,054670,대한뉴팜,032102,의약품 제조업,"14,354,920","7,177,460,000","500",원(KRW),02-3415-7804,경기도 화성시 향남읍 상신리 904-3 ,2046
399,001070,대한방직,031302,직물직조 및 직물제품 제조업,"1,060,000","5,300,000,000","5,000",원(KRW),02-368-0114,"서울특별시 영등포구  국제금융로2길 17 (여의도동,대한빌딩)",2046
400,023910,대한약품,032102,의약품 제조업,"6,000,000","3,000,000,000","500",원(KRW),02-2678-8443,서울특별시 영등포구 선유로45길 3 ,2046
401,006650,대한유화,032001,기초화학물질 제조업,"6,500,000","41,000,000,000","5,000",원(KRW),02-2122-1515,서울특별시 종로구  자하문로 77 유남빌딩,2046
402,001440,대한전선,032803,절연선 및 케이블 제조업,"839,089,231","419,544,615,500","500",원(KRW),02-316-9114,경기도 안양시 동안구 관양동 1746-2 대한스마트타워 ,2046
403,084010,대한제강,032401,1차 철강 제조업,"24,646,734","24,646,734,000","1,000",원(KRW),02-1670-3300,부산광역시 사하구 하신번영로 69 ,2046
404,001790,대한제당,031006,"곡물가공품, 전분 및 전분제품 제조업","8,840,002","24,044,835,000","2,500",원(KRW),032-770-1400,인천광역시 중구  월미로 116(북성동1가) ,2046
405,001130,대한제분,031006,"곡물가공품, 전분 및 전분제품 제조업","1,690,000","8,450,000,000","5,000",원(KRW),02-3455-0200,서울특별시 중구 세종대로 39 ,2046
406,003490,대한항공,085101,정기 항공 운송업,"72,839,744","369,752,690,000","5,000",원(KRW),02-2656-7114,서울특별시 강서구 하늘길 260 ,2046
407,005880,대한해운,085001,해상 운송업,"24,426,504","122,132,520,000","5,000",원(KRW),02-3701-0114,서울특별시 강서구 마곡중앙8로 78 에스엠알엔디센터 ,2046
408,003830,대한화섬,032005,화학섬유 제조업,"1,328,000","6,640,000,000","5,000",원(KRW),02-3406-0300,서울특별시 중구  동호로 310 ,2046
409,016090,대현,031401,봉제의복 제조업,"45,282,310","26,906,155,000","500",원(KRW),02-3485-7000,서울특별시 서초구  강남대로51길 1 대현블루타워 ,2046
410,069460,대호에이엘,032402,1차 비철금속 제조업,"27,134,839","13,567,419,500","500",원(KRW),053-610-5400,대구광역시 달성군  논공읍 논공중앙로 211 ,2046
411,021040,대호피앤씨,032401,1차 철강 제조업,"50,112,826","27,177,646,000","500",원(KRW),055 -388 -4001,경상남도 양산시  산막공단북4길 13 (주)대호피앤씨 ,2046
412,067080,대화제약,032102,의약품 제조업,"18,224,974","9,112,487,000","500",원(KRW),02-586-6451,강원도 횡성군  횡성읍 한우로 495 ,2046
413,084870,더베이직하우스,031401,봉제의복 제조업,"20,856,819","10,428,409,500","500",원(KRW),02-2058-3800,서울특별시 강남구 봉은사로 456 베이직하우스빌딩(삼성동),2046
414,192080,더블유게임즈,105802,소프트웨어 개발 및 공급업,"17,089,768","8,544,884,000","500",원(KRW),02-563-2961,"서울특별시 강남구 테헤란로 152, 강남파이낸스센터 16층(역삼동) ",2046
415,012510,더존비즈온,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","29,672,700","14,836,350,000","500",원(KRW),02-6233-3000,강원도 춘천시 남산면 버들1길 130 ,2046
416,213420,덕산네오룩스,032602,전자부품 제조업,"12,007,770","2,401,554,000","200",원(KRW),041-590-5400,충청남도 천안시 서북구 입장면 쑥골길 21-32 ,2046
417,077360,덕산하이메탈,032601,반도체 제조업,"22,718,501","4,543,700,200","200",원(KRW),052-289-0443,울산광역시 북구  무룡1로 66 ,2046
418,004830,덕성,032202,플라스틱제품 제조업,"15,680,000","8,536,000,000","500",원(KRW),031-204-0781,경기도 수원시 영통구  신원로 25 ,2046
419,090410,덕신하우징,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","8,012,000","4,006,000,000","500",원(KRW),02-2600-2600,충청남도 천안시 동남구 수신면 수신로 485-34 ,2046
420,024900,덕양산업,033003,자동차 부품 제조업,"32,564,980","16,282,490,000","500",원(KRW),052-219-1114,울산광역시 북구  효암로 366 ,2046
421,194480,데브시스터즈,105802,소프트웨어 개발 및 공급업,"10,935,545","5,467,772,500","500",원(KRW),02-2148-0652,서울특별시 강남구 언주로152길 12 ,2046
422,199150,데이터스트림즈,105802,소프트웨어 개발 및 공급업,"4,015,598","2,007,799,000","500",원(KRW),02-3473-9077,"서울특별시 서초구 사임당로 28 6층 (서초동, 청호나이스)",2046
423,183410,데카시스템,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","3,657,960","1,828,980,000","500",원(KRW),1644-8481,경기도 성남시 분당구 야탑로 98 신도리코빌딩 7층,2046
424,017680,데코앤이,031401,봉제의복 제조업,"63,202,112","31,601,056,000","500",원(KRW),02-2145-1300,서울특별시 송파구  위례성대로22길 32 (주)데코네티션 ,2046
425,206560,덱스터,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","10,707,644","5,353,822,000","500",원(KRW),031-8076-4830,경기도 파주시 회동길 78 ,2046
426,008000,도레이케미칼,032005,화학섬유 제조업,"46,363,851","237,230,757,000","5,000",원(KRW),054-469-4114,경상북도 구미시 구미대로 102 ,2046
427,067990,도이치모터스,074501,자동차 판매업,"26,263,308","13,131,654,000","500",원(KRW),02-2235-7301,서울 동대문구 답십리동 530-19 ,2046
428,002150,도화엔지니어링,137201,"건축기술, 엔지니어링 및 관련기술 서비스업","33,720,000","16,860,000,000","500",원(KRW),02-6323-3032,서울특별시 강남구  삼성로 438 도화타워 ,2046
429,100130,동국S&C,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","57,143,000","28,571,500,000","500",원(KRW),054-271-0542,경상북도 포항시 남구 대송로 62(장흥동) ,2046
430,005160,동국산업,032401,1차 철강 제조업,"50,000,000","50,000,000,000","1,000",원(KRW),02  -316 -7559,서울특별시 중구  다동길 46 ,2046
431,001620,동국실업,033003,자동차 부품 제조업,"26,334,520","13,167,260,000","500",원(KRW),02-754-2961,서울특별시 용산구  한강대로 350 ,2046
432,075970,동국알앤에스,032309,기타 비금속 광물제품 제조업,"18,400,000","18,400,000,000","1,000",원(KRW),(055)323-6589,경상남도 김해시  상동면 상동로375번길 26-29 동국내화(주) ,2046
433,001230,동국제강,032401,1차 철강 제조업,"95,358,542","588,857,060,000","5,000",원(KRW),02-317-1114,서울특별시 중구  을지로5길 19 페럼타워,2046
434,086450,동국제약,032102,의약품 제조업,"8,892,000","22,230,000,000","2,500",원(KRW),02-2191-9800,서울특별시 강남구  테헤란로108길 7 동국제약 ,2046
435,023450,동남합성,032004,기타 화학제품 제조업,"1,284,613","6,448,065,000","5,000",원(KRW),041-840-3100,충청남도 공주시 탄천면 탄천산업단지길 80-61 -,2046
436,004140,동방,084903,도로 화물 운송업,"21,523,970","21,523,970,000","1,000",원(KRW),02-2190-8100,서울특별시 중구 남대문로 63 한진빌딩 23층,2046
437,099410,동방선기,033101,선박 및 보트 건조업,"10,963,002","5,481,501,000","500",원(KRW),055-545-0882,경상남도 창원시 진해구 명제로 73 ,2046
438,007590,동방아그로,032004,기타 화학제품 제조업,"13,617,577","6,808,788,500","500",원(KRW),02-580-3600,"서울특별시 관악구  남부순환로 2028 남현동, 동방빌딩",2046
439,012030,동부,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","18,212,632","91,063,160,000","5,000",원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,2046
440,005960,동부건설,064102,토목 건설업,"8,540,277","44,155,815,000","5,000",원(KRW),02-3484-2114,서울특별시 용산구 한강대로 372 제D동,2046
441,045890,동부라이텍,032804,전구 및 조명장치 제조업,"25,482,194","12,741,097,000","500",원(KRW),032-670-3000,경기도 부천시 오정구  산업로104번길 14 (오정동) 동부라이텍(주),2046
442,226440,동부스팩3호,116601,금융지원 서비스업,"4,450,000","445,000,000","100",원(KRW),02-369-3474,서울특별시 영등포구 국제금융로8길 32 &nbsp,2046
443,230490,동부제4호스팩,116601,금융지원 서비스업,"5,300,000","530,000,000","100",원(KRW),02-369-3970,서울특별시 영등포구 국제금융로8길 32 동부증권 &nbsp,2046
444,016380,동부제철,032401,1차 철강 제조업,"20,000,488","103,209,125,000","5,000",원(KRW),02-3450-8114,서울특별시 중구 후암로 98STX 남산타워 ,2046
445,016610,동부증권,116601,금융지원 서비스업,"42,446,389","212,231,945,000","5,000",원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,2046
446,000990,동부하이텍,032601,반도체 제조업,"44,367,832","222,400,740,000","5,000",원(KRW),02-3484-2888,서울특별시 강남구  테헤란로 432 (주)동부하이텍,2046
447,005830,동부화재해상보험,116501,보험업,"70,800,000","35,400,000,000","500",원(KRW),02-3011-3114,서울특별시 강남구  테헤란로 432 ,2046
448,083350,동북아10호선박투자,126901,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW),02-590-1400,부산광역시 사상구 사상로 461 (모라동),2046
449,083360,동북아11호선박투자,126901,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW),02-590-1400,부산광역시 사상구 사상로 461 (모라동),2046
450,083370,동북아12호선박투자,126901,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW),02-590-1400,부산광역시 사상구 사상로 461 (모라동),2046
451,083380,동북아13호선박투자,126901,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW),02-590-1400,부산광역시 사상구 사상로 461 (모라동),2046
452,083390,동북아14호선박투자,126901,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW),02-590-1400,부산광역시 사상구 사상로 461 (모라동),2046
453,026960,동서,074603,음·식료품 및 담배 도매업,"99,700,000","49,850,000,000","500",원(KRW),02-3271-9626,서울특별시 마포구 독막로 324 동서빌딩 10층 ,2046
454,002210,동성제약,032102,의약품 제조업,"22,404,756","22,404,756,000","1,000",원(KRW),02-6911-3600,서울특별시 도봉구  도봉로 683  (방학동) 동성빌딩,2046
455,102260,동성코퍼레이션,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","45,444,970","45,444,970,000","1,000",원(KRW),02-2136-4300,부산광역시 사하구  신산로 99 ,2046
456,033500,동성화인텍,032001,기초화학물질 제조업,"26,983,609","13,821,804,500","500",원(KRW),02-6190-8500,경기도 안성시  미양면 협동단지길 120 동성화인텍,2046
457,005190,동성화학,032001,기초화학물질 제조업,"5,304,983","5,500,663,000","1,000",원(KRW),051-200-4500,부산광역시 사하구  신산로 99 ,2046
458,025950,동신건설,064102,토목 건설업,"8,400,000","4,200,000,000","500",원(KRW),053 -756 -7701,경상북도 안동시  서동문로 217 ,2046
459,000640,동아쏘시오홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","4,776,291","23,881,455,000","5,000",원(KRW),02-920-8114,서울특별시 동대문구  천호대로 64 ,2046
460,058730,동아에스텍,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","12,790,000","6,695,000,000","500",원(KRW),061-370-2114,전라남도 화순군  동면 동농공길 26-2 ,2046
461,170900,동아에스티,032102,의약품 제조업,"8,332,578","41,662,890,000","5,000",원(KRW),02-920-8114,서울 동대문구 용두동 138 ~255 천호대로 64,2046
462,088130,동아엘텍,032902,특수 목적용 기계 제조업,"11,150,296","5,575,148,000","500",원(KRW),031-345-1500,경기도 안양시 동안구  일동로 174 ,2046
463,008040,동아원,031006,"곡물가공품, 전분 및 전분제품 제조업","65,180,349","32,590,174,500","500",원(KRW),02-789-9524,서울특별시 영등포구 63로 50 ,2046
464,028100,동아지질,064201,기반조성 및 시설물 축조관련 전문공사업,"11,500,000","5,750,000,000","500",원(KRW),051-580-5550,부산광역시 금정구  금샘로 347 동아지질,2046
465,007340,동아타이어공업,032201,고무제품 제조업,"23,727,020","11,863,510,000","500",원(KRW),055-389-0011,경상남도 양산시  유산공단11길 11 동아타이어공업,2046
466,041930,동아화성,032201,고무제품 제조업,"15,800,000","8,000,000,000","500",원(KRW),055)313 - 1800,경상남도 김해시  유하로 154-9 ,2046
467,001520,동양,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500","500",원(KRW),02-3770-3000,"서울특별시 중구 청계천로 100, 서관(수표동, 시그니쳐타워) ",2046
468,084670,동양고속,084902,육상 여객 운송업,"2,652,000","13,260,000,000","5,000",원(KRW),02-535-3111,경기도 안양시 동안구 흥안대로 67 ,2046
469,030790,동양네트웍스,074608,상품 종합 도매업,"52,734,346","26,367,173,000","500",원(KRW),02-6923-0000,"서울특별시 송파구 백제고분로 69 (잠실동, 애플타워)",2046
470,002900,동양물산기업,032902,특수 목적용 기계 제조업,"6,538,890","32,694,450,000","5,000",원(KRW),02-3014-2742,서울특별시 강남구 언주로133길 7 ,2046
471,082640,동양생명,116501,보험업,"107,572,390","537,861,950,000","5,000",원(KRW),02-1577-1004,서울특별시 종로구 종로 33 (청진동),2046
472,038500,동양시멘트,032309,기타 비금속 광물제품 제조업,"107,357,173","53,678,586,500","500",원(KRW),02-3770-3000,강원도 삼척시  동양길 20 ,2046
473,060380,동양에스텍,032401,1차 철강 제조업,"10,000,000","5,000,000,000","500",원(KRW),042-221-6900,대전광역시 중구 중앙로 164번길 20(은행동) 동양빌딩 4층,2046
474,079960,동양이엔피,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","7,860,000","3,930,000,000","500",원(KRW),(031)236-1511,경기도 평택시 진위면 진위산단로 76 ,2046
475,008970,동양철관,032401,1차 철강 제조업,"81,451,824","40,725,912,000","500",원(KRW),02-6903-0200,충청남도 천안시 동남구  풍세면 풍세로 515 동양철관(주),2046
476,228340,동양파일,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","20,000,000","10,000,000,000","500",원(KRW),02-3770-3157,충청남도 아산시 염치읍 아산온천로 16-127 ,2046
477,104460,동양피엔에프,032901,일반 목적용 기계 제조업,"10,713,625","5,356,812,500","500",원(KRW),02-2106-8000,"서울특별시 금천구  가산디지털1로 88 IT프리미어타워 17층, 18층",2046
478,088910,동우,031001,"도축, 육류 가공 및 저장 처리업","22,860,000","11,430,000,000","500",원(KRW),063-450-2000,전라북도 군산시  서수면 동군산로 1095 주식회사 동우 ,2046
479,094170,동운아나텍,032601,반도체 제조업,"5,991,000","2,995,500,000","500",원(KRW),02-3465-8765,"서울특별시 서초구 남부순환로 2351, 아리랑타워 9층",2046
480,003580,동원,020702,기타 비금속광물 광업,"4,714,788","23,573,940,000","5,000",원(KRW),02-397-7413,강원도 정선군  사북읍 동탄길 32 ,2046
481,049770,동원F&B,031007,기타 식품 제조업,"3,859,124","19,295,620,000","5,000",원(KRW),02-589-3000-1,서울특별시 서초구  마방로 68 (양재동) 동원산업빌딩,2046
482,013120,동원개발,064101,건물 건설업,"90,808,100","45,404,050,000","500",원(KRW),051 -645 -3113,부산광역시 동구 조방로 39 8층,2046
483,018500,동원금속,033003,자동차 부품 제조업,"34,290,117","17,145,058,500","500",원(KRW),053-859-2311,경상북도 경산시  진량읍 북리1길  69,2046
484,006040,동원산업,010301,어로 어업,"3,363,200","16,816,000,000","5,000",원(KRW),02-589-3333,서울특별시 서초구 마방로 68 (양재동),2046
485,030720,동원수산,010301,어로 어업,"4,059,609","20,298,045,000","5,000",원(KRW),02-528-8000,서울특별시 강남구  테헤란로8길 8 동주빌딩 6층,2046
486,014820,동원시스템즈,032202,플라스틱제품 제조업,"24,079,554","121,724,560,000","5,000",원(KRW),02-589-4700,경기도 성남시 중원구 둔촌대로541번길 46(상대원동) ,2046
487,163560,동일고무벨트,032201,고무제품 제조업,"12,270,000","6,135,000,000","500",원(KRW),051-520-9114,부산광역시 금정구 공단동로55번길 28 ,2046
488,109860,동일금속,032403,금속 주조업,"7,000,000","3,500,000,000","500",원(KRW),054-333-5501,경북 영천시 금호읍 덕성리 327,2046
489,032960,동일기연,032602,전자부품 제조업,"5,776,374","4,638,187,000","500",원(KRW),031 -356 -7114,경기도 화성시  남양로930번길 28 동일기연,2046
490,001530,동일방직,031301,방적 및 가공사 제조업,"2,294,311","11,471,555,000","5,000",원(KRW),02-2222-3071,서울특별시 강남구  테헤란로 516 정헌빌딩 8층,2046
491,004890,동일산업,032401,1차 철강 제조업,"2,425,215","12,126,075,000","5,000",원(KRW),054-288-7500,경상북도 포항시 남구  괴동로 112 (장흥동) 동일산업(주),2046
492,002690,동일제강,032401,1차 철강 제조업,"15,000,000","7,500,000,000","500",원(KRW),031-677-1234,경기도 안성시 미양면 안성맞춤대로 474-40 ,2046
493,019300,동일제지,031701,"펄프, 종이 및 판지 제조업","39,690,000","19,845,000,000","500",원(KRW),031-491-0010,경기도 안산시 단원구  해안로 104 목내동,2046
494,023790,동일철강,032401,1차 철강 제조업,"7,345,085","3,672,542,500","500",원(KRW),051 -316 -5341,부산 북구 학장동 716-1 ,2046
495,005290,동진쎄미켐,032001,기초화학물질 제조업,"46,758,046","23,379,023,000","500",원(KRW),02-325-9451,인천광역시 서구  백범로 644 ,2046
496,025900,동화기업,031602,나무제품 제조업,"14,356,756","7,678,378,000","500",원(KRW),02-2122-0589,인천광역시 서구 가정로97번길 28(가좌동) ,2046
497,000020,동화약품,032102,의약품 제조업,"27,931,470","27,931,470,000","1,000",원(KRW),02-2021-9300,서울특별시 중구 후암로 98 19층(남대문로5가),2046
498,000150,두산,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업","21,270,888","134,838,235,000","5,000",원(KRW),02-3398-1181,서울특별시 중구  장충단로 275 두산타원,2046
499,011160,두산건설,064101,건물 건설업,"59,410,591","307,052,955,000","5,000",원(KRW),02-510-3114,서울특별시 강남구  언주로 726(논현동) ,2046
500,082740,두산엔진,032901,일반 목적용 기계 제조업,"69,500,000","69,500,000,000","1,000",원(KRW),055-260-6000,경상남도 창원시 성산구  공단로21번길 18 ,2046
501,042670,두산인프라코어,032902,특수 목적용 기계 제조업,"207,455,314","1,037,276,570,000","5,000",원(KRW),032-211-1114,인천광역시 동구  인중로 489(화수동) ,2046
502,034020,두산중공업,032901,일반 목적용 기계 제조업,"106,158,256","530,791,280,000","5,000",원(KRW),055-278-6114,경상남도 창원시 성산구  두산볼보로 22 두산중공업 주식회사,2046
503,078590,두올산업,033003,자동차 부품 제조업,"12,875,270","6,437,635,000","500",원(KRW),055-352-4860,경남 밀양시 산내면 가인리 364번지 ,2046
504,176750,듀켐바이오,032102,의약품 제조업,"4,999,900","2,499,950,000","500",원(KRW),023324868,서울특별시 마포구 월드컵북로 90 ,2046
505,030350,드래곤플라이,105802,소프트웨어 개발 및 공급업,"14,078,923","7,039,461,500","500",원(KRW),02-2017-7800,"서울특별시 강남구 논현로139길 24 (논현동, 드래곤플라이엔에이치센터)",2046
506,220110,드림티엔터테인먼트,137309,"그외 기타 전문, 과학 및 기술 서비스업","5,530,000","1,106,000,000","200",원(KRW),02-3452-2525,서울특별시 성동구 아차산로 67-16 5층(성수동 2가),2046
507,073190,디비케이,033201,가구 제조업,"11,968,040","5,984,020,000","500",원(KRW),032-816-4814,인천 서구 가좌동 543-2 ,2046
508,066670,디스플레이텍,032602,전자부품 제조업,"18,691,918","9,345,959,000","500",원(KRW),070-7015-3811,경기도 안성시  공단1로 10 (주)디스플레이테크,2046
509,024090,디씨엠,032401,1차 철강 제조업,"11,700,000","6,000,000,000","500",원(KRW),055-366-9991,경상남도 양산시  웅상농공단지길 55 ,2046
510,003160,디아이,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","31,496,785","17,248,392,500","500",원(KRW),02-546-5501,서울특별시 강남구  논현로 703 ,2046
511,092200,디아이씨,033003,자동차 부품 제조업,"21,700,000","10,850,000,000","500",원(KRW),052-255-0500,울산광역시 울주군  두동면 봉계농공길 8 ,2046
512,109740,디에스케이,032902,특수 목적용 기계 제조업,"6,500,000","3,250,000,000","500",원(KRW),031-416-9100,경기도 안산시 상록구  안산테콤1길 21 ,2046
513,090710,디에스티로봇,032902,특수 목적용 기계 제조업,"9,493,166","4,746,583,000","500",원(KRW),041-590-1830,충청남도 천안시 서북구 직산읍 4산단6길 27 -,2046
514,131030,디에이치피코리아,032102,의약품 제조업,"16,564,797","8,282,398,500","500",원(KRW),02-2027-0078,충청북도 청원군 오송읍 오송생명6로 50 (지번주소 : 충청북도 청원군 오송읍 만수리 491),2046
515,196490,디에이테크놀로지,032902,특수 목적용 기계 제조업,"6,043,686","3,021,843,000","500",원(KRW),031-369-8800,경기도 화성시 마도면 화성로 913-29 ,2046
516,066900,디에이피,032602,전자부품 제조업,"22,744,503","11,372,251,500","500",원(KRW),031-677-0005,경기 안성시 미양면 보체리 404-1 ,2046
517,127120,디엔에이링크,137001,자연과학 및 공학 연구개발업,"6,278,496","3,139,248,000","500",원(KRW),02-3153-1500,서울특별시 서대문구 이화여대길 52 이화여자대학교 산학협력관2층 디엔에이링크,2046
518,092070,디엔에프,032004,기타 화학제품 제조업,"10,761,828","5,380,914,000","500",원(KRW),042-932-7939,대전광역시 대덕구  대화로132번길 142 디엔에프 ,2046
519,101000,디엠씨,032902,특수 목적용 기계 제조업,"12,764,625","6,382,312,500","500",원(KRW),055-720-3000,경상남도 김해시  한림면 김해대로 1102-171 디엠씨(주) ,2046
520,134580,디엠티,032604,통신 및 방송 장비 제조업,"11,250,000","5,625,000,000","500",원(KRW),031-420-7500,경기도 안양시 동안구  흥안대로 439 번길 70(관양동) 2층,2046
521,039840,디오,032701,의료용 기기 제조업,"15,171,403","7,585,701,500","500",원(KRW),051-745-7777,부산광역시 해운대구 센텀서로 66 ,2046
